scenario,policy,mean_bytes_kb,mean_hit_rate,n_trials,ci95_bytes_kb,ci95_hit_rate
nightly_wifi,acorn,943103.1635710348,0.7644444444444445,30,20125.26076140937,0.05587324756618488
nightly_wifi,lru_whole,1234681.8714032776,0.7644444444444445,30,24704.48920610252,0.05587324756618488
spotty_cellular,acorn,204354.8581478821,0.07555555555555556,30,10496.76305890333,0.031510983087860434
spotty_cellular,lru_whole,202330.29090717508,0.016388888888888887,30,10414.62326641814,0.011425391011970045
