scenario,policy,trial,bytes_kb,hit_rate,seed,ablation
nightly_wifi,acorn,1351,999656.1103486617,0.6916666666666667,1351,beta0
nightly_wifi,acorn,1352,1017769.6303525785,0.55,1352,beta0
nightly_wifi,acorn,1353,921914.5306327755,0.875,1353,beta0
nightly_wifi,acorn,1354,1022602.121688881,0.825,1354,beta0
nightly_wifi,acorn,1355,872393.3535214444,0.6083333333333333,1355,beta0
nightly_wifi,acorn,1356,953639.1600515755,0.75,1356,beta0
nightly_wifi,acorn,1357,929440.4493133724,0.7333333333333333,1357,beta0
nightly_wifi,acorn,1358,978822.2331912749,0.9166666666666666,1358,beta0
nightly_wifi,acorn,1359,974815.0404030768,0.9916666666666667,1359,beta0
nightly_wifi,acorn,1360,928988.2769921919,0.6916666666666667,1360,beta0
nightly_wifi,acorn,1361,896704.7723412255,0.7916666666666666,1361,beta0
nightly_wifi,acorn,1362,847727.2379636955,0.875,1362,beta0
nightly_wifi,acorn,1363,863028.7132665708,1.0,1363,beta0
nightly_wifi,acorn,1364,970495.1543287776,0.5666666666666667,1364,beta0
nightly_wifi,acorn,1365,902955.0375196097,0.5333333333333333,1365,beta0
nightly_wifi,acorn,1366,893276.6559238067,0.7583333333333333,1366,beta0
nightly_wifi,acorn,1337,962639.7208676164,0.75,1337,gamma0
nightly_wifi,acorn,1338,971156.3356994959,0.7083333333333334,1338,gamma0
nightly_wifi,acorn,1339,1030889.7956603522,0.8583333333333333,1339,gamma0
nightly_wifi,acorn,1340,1006556.4007718662,0.9083333333333333,1340,gamma0
nightly_wifi,acorn,1341,993727.0065975675,0.5666666666666667,1341,gamma0
nightly_wifi,acorn,1342,885375.4900514609,0.9583333333333334,1342,gamma0
nightly_wifi,acorn,1343,1013703.406459724,0.6833333333333333,1343,gamma0
nightly_wifi,acorn,1344,949338.4474898673,0.975,1344,gamma0
nightly_wifi,acorn,1345,927208.4302212774,0.9666666666666667,1345,gamma0
nightly_wifi,acorn,1346,961411.1675842598,0.575,1346,gamma0
nightly_wifi,acorn,1347,893332.5657287986,0.875,1347,gamma0
nightly_wifi,acorn,1348,859023.180519105,0.7166666666666667,1348,gamma0
nightly_wifi,acorn,1349,886299.624227682,0.5166666666666667,1349,gamma0
nightly_wifi,acorn,1350,978204.8574124513,0.7166666666666667,1350,gamma0
nightly_wifi,acorn,1351,999656.1103486615,0.6916666666666667,1351,gamma0
nightly_wifi,acorn,1352,1017769.6303525785,0.55,1352,gamma0
nightly_wifi,acorn,1353,921914.530632776,0.875,1353,gamma0
nightly_wifi,acorn,1354,1022602.1216888811,0.825,1354,gamma0
nightly_wifi,acorn,1355,872393.3535214446,0.6083333333333333,1355,gamma0
