scenario,policy,trial,bytes_kb,hit_rate,seed
nightly_wifi,acorn,1337,962639.7208676164,0.75,1337
nightly_wifi,acorn,1338,971156.3356994961,0.7083333333333334,1338
nightly_wifi,acorn,1339,1030889.7956603522,0.8583333333333333,1339
nightly_wifi,acorn,1340,1006556.4007718662,0.9083333333333333,1340
nightly_wifi,acorn,1341,993727.0065975673,0.5666666666666667,1341
nightly_wifi,acorn,1342,885375.4900514607,0.9583333333333334,1342
nightly_wifi,acorn,1343,1013703.4064597241,0.6833333333333333,1343
nightly_wifi,acorn,1344,949338.4474898673,0.975,1344
nightly_wifi,acorn,1345,927208.4302212772,0.9666666666666667,1345
nightly_wifi,acorn,1346,961411.1675842598,0.575,1346
nightly_wifi,acorn,1347,893332.5657287986,0.875,1347
nightly_wifi,acorn,1348,859023.1805191049,0.7166666666666667,1348
nightly_wifi,acorn,1349,886299.6242276819,0.5166666666666667,1349
nightly_wifi,acorn,1350,978204.8574124514,0.7166666666666667,1350
nightly_wifi,acorn,1351,999656.1103486613,0.6916666666666667,1351
nightly_wifi,acorn,1352,1017769.6303525784,0.55,1352
nightly_wifi,acorn,1353,921914.5306327761,0.875,1353
nightly_wifi,acorn,1354,1022602.121688881,0.825,1354
nightly_wifi,acorn,1355,872393.3535214446,0.6083333333333333,1355
nightly_wifi,acorn,1356,953639.1600515753,0.75,1356
nightly_wifi,acorn,1357,929440.4493133724,0.7333333333333333,1357
nightly_wifi,acorn,1358,978822.2331912753,0.9166666666666666,1358
nightly_wifi,acorn,1359,974815.0404030764,0.9916666666666667,1359
nightly_wifi,acorn,1360,928988.2769921921,0.6916666666666667,1360
nightly_wifi,acorn,1361,896704.7723412258,0.7916666666666666,1361
nightly_wifi,acorn,1362,847727.2379636955,0.875,1362
nightly_wifi,acorn,1363,863028.7132665712,1.0,1363
nightly_wifi,acorn,1364,970495.1543287776,0.5666666666666667,1364
nightly_wifi,acorn,1365,902955.0375196099,0.5333333333333333,1365
nightly_wifi,acorn,1366,893276.6559238068,0.7583333333333333,1366
nightly_wifi,lru_whole,1337,1245945.947688574,0.75,1337
nightly_wifi,lru_whole,1338,1293130.418067462,0.7083333333333334,1338
nightly_wifi,lru_whole,1339,1395795.6795891335,0.8583333333333333,1339
nightly_wifi,lru_whole,1340,1315619.2327686048,0.9083333333333333,1340
nightly_wifi,lru_whole,1341,1249670.688296125,0.5666666666666667,1341
nightly_wifi,lru_whole,1342,1202840.198645847,0.9583333333333334,1342
nightly_wifi,lru_whole,1343,1343077.4802820918,0.6833333333333333,1343
nightly_wifi,lru_whole,1344,1182750.3753283392,0.975,1344
nightly_wifi,lru_whole,1345,1232742.3999214317,0.9666666666666667,1345
nightly_wifi,lru_whole,1346,1233042.5994266798,0.575,1346
nightly_wifi,lru_whole,1347,1132062.555326817,0.875,1347
nightly_wifi,lru_whole,1348,1178611.4616618552,0.7166666666666667,1348
nightly_wifi,lru_whole,1349,1195997.60836962,0.5166666666666667,1349
nightly_wifi,lru_whole,1350,1258295.2583552077,0.7166666666666667,1350
nightly_wifi,lru_whole,1351,1282706.4063999986,0.6916666666666667,1351
nightly_wifi,lru_whole,1352,1341398.2105880063,0.55,1352
nightly_wifi,lru_whole,1353,1206371.580030642,0.875,1353
nightly_wifi,lru_whole,1354,1273524.990461412,0.825,1354
nightly_wifi,lru_whole,1355,1141680.988917548,0.6083333333333333,1355
nightly_wifi,lru_whole,1356,1319443.221886086,0.75,1356
nightly_wifi,lru_whole,1357,1189656.7986361,0.7333333333333333,1357
nightly_wifi,lru_whole,1358,1269442.7972126126,0.9166666666666666,1358
nightly_wifi,lru_whole,1359,1209229.2721566644,0.9916666666666667,1359
nightly_wifi,lru_whole,1360,1226619.061184352,0.6916666666666667,1360
nightly_wifi,lru_whole,1361,1197384.7413812238,0.7916666666666666,1361
nightly_wifi,lru_whole,1362,1132242.18556605,0.875,1362
nightly_wifi,lru_whole,1363,1135331.813216374,1.0,1363
nightly_wifi,lru_whole,1364,1246166.2841379493,0.5666666666666667,1364
nightly_wifi,lru_whole,1365,1206973.2267841278,0.5333333333333333,1365
nightly_wifi,lru_whole,1366,1202702.6598113978,0.7583333333333333,1366
spotty_cellular,acorn,1337,217550.20889335996,0.16666666666666666,1337
spotty_cellular,acorn,1338,200715.2553127827,0.075,1338
spotty_cellular,acorn,1339,189421.45201835892,0.058333333333333334,1339
spotty_cellular,acorn,1340,177167.44639112122,0.08333333333333333,1340
spotty_cellular,acorn,1341,207085.4647544055,0.0,1341
spotty_cellular,acorn,1342,237226.7798689099,0.08333333333333333,1342
spotty_cellular,acorn,1343,195885.11862388946,0.14166666666666666,1343
spotty_cellular,acorn,1344,249957.91517349577,0.325,1344
spotty_cellular,acorn,1345,187312.53971510852,0.20833333333333334,1345
spotty_cellular,acorn,1346,235904.9843209502,0.24166666666666667,1346
spotty_cellular,acorn,1347,191672.4334207243,0.05,1347
spotty_cellular,acorn,1348,194152.0462472674,0.008333333333333333,1348
spotty_cellular,acorn,1349,191263.39034932118,0.0,1349
spotty_cellular,acorn,1350,206776.43494194868,0.0,1350
spotty_cellular,acorn,1351,194721.13307726494,0.008333333333333333,1351
spotty_cellular,acorn,1352,191618.3582462911,0.0,1352
spotty_cellular,acorn,1353,185364.61824810575,0.075,1353
spotty_cellular,acorn,1354,212740.09020446314,0.05,1354
spotty_cellular,acorn,1355,175010.74892391235,0.1,1355
spotty_cellular,acorn,1356,196645.12426471213,0.0,1356
spotty_cellular,acorn,1357,239283.84204162206,0.058333333333333334,1357
