scenario,policy,trial,bytes_kb,hit_rate,seed,ablation
spotty_cellular,LRU_whole,1355,21436.5,0.0,1355,
spotty_cellular,LRU_whole,1356,24121.6,0.0,1356,
spotty_cellular,LRU_whole,1357,29219.4,0.0,1357,
spotty_cellular,LRU_whole,1358,19072.2,0.0,1358,
spotty_cellular,LRU_whole,1359,19588.0,0.0,1359,
spotty_cellular,LRU_whole,1360,30133.5,0.0,1360,
spotty_cellular,LRU_whole,1361,32338.8,0.0,1361,
spotty_cellular,LRU_whole,1362,23202.2,0.0,1362,
spotty_cellular,LRU_whole,1363,29652.1,0.0,1363,
spotty_cellular,LRU_whole,1364,21921.9,0.0,1364,
spotty_cellular,LRU_whole,1365,21648.4,0.0,1365,
spotty_cellular,LRU_whole,1366,29040.5,0.0,1366,
